Группа,Лексема,Код (ID),Описание
Служебные слова,begin,1,Начало блока
,end,2,Конец блока
,if,3,Условный оператор
,then,4,Ветвь при истинном условии
,else,5,Ветвь при ложном условии
,while,6,Начало цикла с предусловием
,do,7,Разделитель между условием и телом цикла
,read,8,Ввод
,write,9,Вывод
Встроенные функции,sqrt,10,Квадратный корень
,exp,11,Экспонента
,log,12,Логарифм
Идентификаторы,[a-zA-Z][a-zA-Z0-9]*,20,"Имена переменных, констант, типов, процедур"
Литералы,[0-9]+,21,Целое число (напр. 42)
,[0-9]+\.[0-9]+,22,Вещественное число (напр. 3.14)
Операторы,:=,30,Присваивание
,+,31,Сложение
,-,32,Вычитание
,*,33,Умножение
,/,34,Деление
Сравнения,=,40,Равно
,<>,41,Не равно
,<,42,Меньше
,<=,43,Меньше или равно
,>,44,Больше
,>=,45,Больше или равно
Разделители,(,50,Открывающая круглая скобка
,),51,Закрывающая круглая скобка
,[,52,Открывающая квадратная скобка
,],53,Закрывающая квадратная скобка
,;,54,Точка с запятой
Специальные,┴ EOF,99,Конец файла/строки
,ERROR,100,Лексическая ошибка
