Состояние,Буква [a-zA-Z],Цифра [0-9],Точка .,Двоеточие :,Равно =,Меньше <,Больше >,Одиночные символы +-*/()[];,Пробельные символы (WS),EOF,Другое
S0 — Начальное состояние.,S1,S2,Err (100),S5,F (40:=),S6,S7,F (ОД),S0,F (99),Err (100)
S1 — Чтение идентификатора.,S1,S1,*F (20/КЛ),*F (20/КЛ),*F (20/КЛ),*F (20/КЛ),*F (20/КЛ),*F (20/КЛ),*F (20/КЛ),*F (20/КЛ),*F (20/КЛ)
S2 — Чтение целого числа.,*F (21),S2,S3,*F (21),*F (21),*F (21),*F (21),*F (21),*F (21),*F (21),*F (21)
S3 — Прочитана точка в числе (ожидание дробной части).,Err (100),S4,Err (100),Err (100),Err (100),Err (100),Err (100),Err (100),Err (100),Err (100),Err (100)
S4 — Чтение дробной части (вещественное число).,*F (22),S4,*F (22),*F (22),*F (22),*F (22),*F (22),*F (22),*F (22),*F (22),*F (22)
S5 — Прочитано двоеточие (ожидание = для присваивания :=).,Err (100),Err (100),Err(100),Err (100),F (30: :=),Err (100),Err (100),Err (100),Err(100),Err (100),Err (100)
"S6 — Прочитан знак < (состояние проверки на <=, <>).",*F (42),*F (42),*F (42),*F (42),F (43: <=),*F (42),F (41: <>),*F (42),*F (42),*F (42),*F (42)
S7 — Прочитан знак > (состояние проверки на >=).,*F (44),*F (44),*F (44),*F (44),F (45: >=),*F (44),*F (44),*F (44),*F (44),*F (44),*F (44)
,,,,,,,,,,,
Пояснения к финальным состояниям:,,,,,,,,,,,
"1. F (ОД) — происходит возврат токена одиночного разделителя или оператора, код которого зависит от считанного символа (например, '(' => 50, '+' => 31); переход в состояние S0",,,,,,,,,,,
"2. F* (20/КЛ) — когда сканер закончил читать имя/идентификатор (так как встречен символ, не являющийся буквой или цифрой), накопленная строка проверяется: если это слово вроде begin, выдаем код 1, если read — код 8, если sqrt — код 10, если совпадений нет — возвращаем код 20 (ID).",,,,,,,,,,,
,,,,,,,,,,,
Непрочитанная часть строки,Входной символ,Состояние автомата,Лексемы,,,,,,,,
begin a:=1 end,,S0,,,,,,,,,
begin a:=1 end,b,S1,,,,,,,,,
egin a:=1 end,e,S1,,,,,,,,,
gin a:=1 end,g,S1,,,,,,,,,
in a:=1 end,i,S1,,,,,,,,,
n a:=1 end,n,S1,,,,,,,,,
 a:=1 end,' ',*F (1: begin) | S0,begin,,,,,,,,
 a:=1 end,' ',S0,,,,,,,,,
a:=1 end,a,S1,,,,,,,,,
:=1 end,:,*F (20: a) | S0,a,,,,,,,,
:=1 end,:,S5,,,,,,,,,
=1 end,=,F (30: :=) | S0,:=,,,,,,,,
1 end,1,S2,,,,,,,,,
 end,' ',*F (21: 1) | S0,1,,,,,,,,
 end,' ',S0,,,,,,,,,
end,e,S1,,,,,,,,,
nd,n,S1,,,,,,,,,
d,d,S1,,,,,,,,,
EOF,EOF,*F (20) | S0,end,,,,,,,,
