,begin,end,if,then,else,while,do,read,write,sqrt,exp,log,a (идентификатор),k (число),:=,+,-,*,/,=,<>,<,<=,>,>=,(,),[,],;
PROG,begin STMT_TAIL end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,□ □ □,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STML_LIST,begin STML_LIST end STMT_TAIL,,if COND then STMT ELSE_PART STMT_TAIL,,,while COND do STMT STMT_TAIL,,read(aH) STMT_TAIL,write(S) STMT_TAIL,,,,aH:=S STMT_TAIL,,,,,,,,,,,,,,,,,
,□ □ □ □,,□ □ 1 □ 3 □,,,4 □ 1 5 □,,□ □ a □ r □,□ □ □ w □,,,,a □ □ := □,,,,,,,,,,,,,,,,,
STMT_TAIL,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,,λ,λ,λ,λ,;STMT STMT_TAIL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,□ □ □
STMT,begin STML_LIST end,,if COND then STMT ELSE_PART,,,while COND do STMT,,read(aH),write(S),,,,aH:=S,,,,,,,,,,,,,,,,,
,□ □ □,,□ □ 1 □ 3,,,4 □ 1 5,,□ □ a □ r,□ □ □ w,,,,a □ □ :=,,,,,,,,,,,,,,,,,
ELSE_PART,λ,λ,λ,λ,else STMT ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,,λ,λ,λ,λ,λ
,,,,,2 □,,,,,,,,,,,,,,,,,,,,,,,,,
H,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,,λ,λ,[S],λ,λ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,□ □ i,,
COND,,,,,,,,,,sqrt(S)VU  CMP S,exp(S)VU  CMP S,log(S)VU  CMP S,aHVU  CMP S,kVU  CMP S,,,,,,,,,,,,(S)VU CMP S,,,,
,,,,,,,,,,□ □ □ sqrt_op □ □ □ CMP_OP,□ □ □ exp_op □ □ □ CMP_OP,□ □ □ log_op □ □ □ CMP_OP,a □ □ □ □ CMP_OP,k □ □ □ CMP_OP,,,,,,,,,,,,□ □ □ □ □ □ CMP_OP,,,,
CMP,,,,,,,,,,,,,,,,,,,,=,<>,<,<=,>,>=,,,,,
,,,,,,,,,,,,,,,,,,,,□,□,□,□,□,□,,,,,
S,,,,,,,,,,sqrt(S)VU,exp(S)VU,log(S)VU,aHVU,kVU,,,,,,,,,,,,(S)VU,,,,
,,,,,,,,,,□ □ □ sqrt_op □ □,□ □ □ exp_op □ □,□ □ □ log_op □ □,a □ □ □,k □ □,,,,,,,,,,,,□ □ □ □ □,,,,
U,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,+TU,-TU,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ
,,,,,,,,,,,,,,,,□ □ +,□ □ -,,,,,,,,,,,,,
T,,,,,,,,,,sqrt(S)V,exp(S)V,log(S)V,aHV,kV,,,,,,,,,,,,(S)V,,,,
,,,,,,,,,,□ □ □ sqrt_op □,□ □ □ exp_op □,□ □ □ log_op □,a □ □,k □,,,,,,,,,,,,□ □ □ □,,,,
V,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,*FV,/FV,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ,λ
,,,,,,,,,,,,,,,,,,□ □ *,□ □ /,,,,,,,,,,,
F,,,,,,,,,,sqrt(S),exp(S),log(S),aH,k,,,,,,,,,,,,(S),,,,
,,,,,,,,,,□ □ □ sqrt_op,□ □ □ exp_op,□ □ □ log_op,a □,k,,,,,,,,,,,,□ □ □,,,,
