Синтаксис,Операция,Действие
[число],Целое или вещественное,Положить числовое значение на вершину стека
[имя_переменной],Переменная,Положить ссылку (индекс/адрес в таблице переменных) на вершину стека
+,Сложение,"Извлечь два значения, сложить, результат положить в стек"
-,Вычитание,"Из левого значения вычесть правое, результат положить в стек"
*,Умножение,"Перемножить два значения, результат в стек"
/,Деление,"Левый операнд разделить на правый, результат в стек"
sqrt_op,Квадратный корень,"Вычислить √x, результат в стек"
exp_op,Экспонента,"Вычислить eˣ, результат в стек"
log_op,Натуральный логарифм,"Вычислить ln(x), результат в стек"
=,Равно,Левый = Правый → 1/0
<>,Не равно,Левый ≠ Правый → 1/0
<,Меньше,Левый < Правый → 1/0
<=,Меньше или равно,Левый ≤ Правый → 1/0
>,Больше,Левый > Правый → 1/0
>=,Больше или равно,Левый ≥ Правый → 1/0
:=,Присваивание,"Извлечь правый операнд (значение), извлечь левый (обязан быть ссылкой), записать значение по ссылке. В стек ничего не возвращать"
i,Индексация массива,Извлечь правый операнд (индекс k). Извлечь левый (ссылка на паспорт массива M). Вычислить M+k. Положить новую ссылку на стек
j,Безусловный переход,"Извлечь с вершины стека адрес метки, присвоить IP = метка"
jf,Переход по лжи,"Извлечь метку, затем извлечь логическое значение. Если значение = 0 (ложь), то IP = метка; иначе – перейти к следующей команде"
r,Read (ввод),"Извлечь ссылку, запросить у пользователя число, записать его по ссылке"
w,Write (вывод),"Извлечь операнд (если ссылка – разыменовать), вывести значение в консоль"
